DATE-XVALUE|TIME-XVALUE|CLOSE_INPUT_OUTPUT-YVALUE|StochK-INPUT|StochD-INPUT|WilliamsR-INPUT
20120406|0700|1.30722000|83.4710743801642964|68.6481869753941822|-68.4298908480266306
20120406|0800|1.30681000|79.8210735586478108|72.3724825031453918|-61.8451025056952162
20120406|0900|1.30618000|68.3918669131228967|71.0456106398045648|-56.1290322580670775
20120406|1000|1.30649000|59.5687331536379646|67.2199848110823695|-45.2079566003644331
20120406|1100|1.30630000|48.6338797814198500|61.0246164678615344|-34.2592592592584993
20120406|1200|1.30707000|41.8828049951956842|54.6440126436395844|-16.4351851851853752
20120406|1300|1.30628000|33.4008097165988858|47.5629450012926896|-55.5555555555509884
20120406|1400|1.30879000|45.9736456808219814|47.0331785611357844|-38.0952380952362475
20120406|1500|1.30944000|56.1766349916167371|50.0809973712961067|-27.7777777777791500
20120406|1600|1.30767000|56.2444641275469550|52.1354862900463942|-55.8730158730171596
20120406|1700|1.30781000|53.8433247517471330|52.7047657772799738|-53.6507936507945474
20120406|1800|1.30976000|60.3809523809520457|55.2634946451706668|-22.6984126984126712
20120406|1900|1.30956000|62.8253968253962186|57.7841287052458554|-25.8730158730153974
20120406|2000|1.30933000|62.4761904761904106|59.3481492955607095|-29.5238095238081826
20120406|2100|1.30972000|68.9841269841270588|62.5601418584161594|-23.3333333333339219
20120406|2200|1.30914000|72.6921726921730312|65.9374854696684452|-32.5396825396832412
20120408|2300|1.30969000|71.7817896389330628|67.8855868594233130|-23.8095238095239772
20120409|0000|1.30682000|59.9740932642496816|65.2484223276987763|-69.3650793650769941
20120409|0100|1.30847000|54.5585412667951886|61.6851286407309162|-43.1746031746027299
20120409|0200|1.30420000|31.3368471490180980|51.5690348101599768|-100.0000000000000000
20120409|0300|1.30511000|26.1464199517298432|43.0948298573499358|-76.5743073047864016
20120409|0400|1.30578000|22.8076256499129962|36.3324284548709571|-68.1360201511347299
20120409|0500|1.30568000|27.3381294964022352|33.3343288020480486|-69.3954659949632884
20120409|0600|1.30688000|29.7805642633223968|32.1497406224728337|-54.2821158690176873
20120409|0700|1.30638000|38.5905086672341114|34.2966633040599263|-60.5793450881633220
