DATE-XVALUE|TIME-XVALUE|CLOSE_INPUT_OUTPUT-YVALUE|StochK-INPUT|StochD-INPUT|WilliamsR-INPUT
20121220|1800|1.32390000|48.5060240963864402|61.4505097578337498|-51.8761726078786936
20121220|1900|1.32429000|37.4816983894590976|53.4609059683755420|-48.2176360225138296
20121220|2000|1.32392000|28.3737024221463088|45.0985047862991380|-57.2765072765065071
20121220|2100|1.32421000|29.5167286245365546|39.9045793990449482|-56.7391304347834052
20121220|2200|1.32430000|34.2672948177548733|38.0254845386149256|-55.7608695652165950
20121220|2300|1.32449000|37.3219373219383144|37.7909687997227196|-53.6956521739131674
20121221|0000|1.32355000|39.8426114835336662|38.4748496943263732|-63.9130434782604908
20121221|0100|1.32240000|38.7727116900936580|38.5741370262488062|-76.4130434782604908
20121221|0200|1.31993000|35.7117117117128942|37.6199952547368356|-86.7579908675801050
20121221|0300|1.31919000|30.6205871423266346|35.2868592172667661|-88.9661164205048464
20121221|0400|1.31973000|24.9189773136482878|31.8308985827272758|-84.2745438748904974
20121221|0500|1.31925000|19.4168535725730465|27.6928835793425350|-88.4448305821019716
20121221|0600|1.32019000|22.9078613694000204|26.0978761760283646|-80.2780191138139685
20121221|0700|1.32010000|24.8806515023874368|25.6921346181480602|-81.0599478714153889
20121221|0800|1.31978000|27.6477472205974700|26.3440054856312003|-83.8401390095570208
20121221|0900|1.32160000|35.7097791798115978|29.4659300503580042|-68.0278019113800525
20121221|1000|1.32003000|41.4099931553740675|33.4472844186966967|-81.6681146828838110
20121221|1100|1.32081000|45.2894438138489548|37.3946708837474518|-74.8476936466487502
20121221|1200|1.31998000|46.0963455149504284|40.2952290941484464|-78.9581205311546626
20121221|1300|1.32004000|46.6989436619726916|42.4298006167565305|-70.5963938973628302
20121221|1400|1.32015000|37.5278893351179336|40.7958301895436648|-69.0707350901529367
20121221|1500|1.31695000|27.6929426330989586|36.4282010040620961|-95.2270081490101603
20121221|1600|1.31737000|20.4855842185120274|31.1139954088787434|-90.3376018626321553
20121221|1700|1.31649000|15.1925078043696651|25.8068328740423852|-96.7525195968655680
